,file,class,method,ATFD,ATLD,LAA,FDP,line,fanin,fanout,wmc,loc,returnsQty,variablesQty,parametersQty,loopQty,anonymousClassesQty,innerClassesQty
6108,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getMappingControl/1[javax.lang.model.util.Elements],4.0,1.0,0.2,2.0,424.0,1,2,1,3,1,1,1,0,0,0
6109,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getMirror/0,1.0,1.0,0.5,1.0,382.0,4,0,1,3,1,0,0,0,0,0
6110,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getNullValueCheckStrategy/0,4.0,1.0,0.2,2.0,406.0,0,2,1,3,1,0,0,0,0,0
6111,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getNullValuePropertyMappingStrategy/0,4.0,1.0,0.2,2.0,415.0,0,2,1,3,1,0,0,0,0,0
6112,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getSelectionParameters/0,0.0,1.0,1.0,0.0,374.0,1,0,1,3,1,0,0,0,0,0
6113,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getSourceAnnotationValue/0,0.0,1.0,1.0,0.0,350.0,2,0,1,3,1,0,0,0,0,0
6114,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getSourceName/0,0.0,1.0,1.0,0.0,346.0,3,0,1,3,1,0,0,0,0,0
6115,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getTargetAnnotationValue/0,0.0,1.0,1.0,0.0,336.0,3,0,1,3,1,0,0,0,0,0
6116,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,getTargetName/0,0.0,1.0,1.0,0.0,332.0,7,0,1,3,1,0,0,0,0,0
6117,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,hasAnnotation/0,0.0,1.0,1.0,0.0,525.0,0,0,2,3,1,0,0,0,0,0
6118,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,hashCode/0,0.0,1.0,1.0,0.0,512.0,0,0,1,3,1,0,0,0,0,0
6119,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,isIgnored/0,0.0,1.0,1.0,0.0,378.0,2,0,1,3,1,0,0,0,0,0
6120,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\source\MappingOptions.java,org.mapstruct.ap.internal.model.source.MappingOptions,toString/0,0.0,2.0,1.0,0.0,517.0,0,0,1,3,1,0,0,0,0,0
6121,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\SupportingConstructorFragment.java,org.mapstruct.ap.internal.model.SupportingConstructorFragment,equals/1[java.lang.Object],2.0,2.0,0.5,1.0,55.0,0,0,5,16,5,1,1,0,0,0
6122,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\SupportingConstructorFragment.java,org.mapstruct.ap.internal.model.SupportingConstructorFragment,getDefiningMethod/0,0.0,1.0,1.0,0.0,42.0,0,0,1,3,1,0,0,0,0,0
6123,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\SupportingConstructorFragment.java,org.mapstruct.ap.internal.model.SupportingConstructorFragment,getImportTypes/0,0.0,0.0,-1.0,0.0,38.0,0,0,1,3,1,0,0,0,0,0
6124,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\SupportingConstructorFragment.java,org.mapstruct.ap.internal.model.SupportingConstructorFragment,getTemplateName/0,0.0,1.0,1.0,0.0,33.0,0,0,1,3,1,0,0,0,0,0
6125,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\main\java\org\mapstruct\ap\internal\model\SupportingConstructorFragment.java,org.mapstruct.ap.internal.model.SupportingConstructorFragment,hashCode/0,0.0,1.0,1.0,0.0,47.0,0,0,2,6,1,2,0,0,0,0
6126,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\bugs\_1801\dto\ItemDTO.java,org.mapstruct.ap.test.bugs._1801.dto.ItemDTO,getId/0,0.0,0.0,-1.0,0.0,12.0,1,0,1,1,0,0,0,0,0,0
6127,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\collection\TestList.java,org.mapstruct.ap.test.collection.TestList,isAddAllCalled/0,0.0,1.0,1.0,0.0,20.0,1,0,1,3,1,0,0,0,0,0
6128,C:\Users\sugii syuji\gitProject\mapstruct\processor\src\test\java\org\mapstruct\ap\test\collection\TestList.java,org.mapstruct.ap.test.collection.TestList,setAddAllCalled/1[boolean],0.0,1.0,1.0,0.0,24.0,1,0,1,3,0,0,1,0,0,0
